doc_id,id,subclass,label,split
HF_gossipcop-31136768,gossipcop-31136768,HF,fake,train
HF_gossipcop-4995375788,gossipcop-4995375788,HF,fake,validation
HF_gossipcop-765389544,gossipcop-765389544,HF,fake,train
HF_gossipcop-209087221,gossipcop-209087221,HF,fake,train
HF_gossipcop-9882673156,gossipcop-9882673156,HF,fake,train
HF_gossipcop-6374309586,gossipcop-6374309586,HF,fake,validation
HF_gossipcop-7683896162,gossipcop-7683896162,HF,fake,test
HF_gossipcop-3301524860,gossipcop-3301524860,HF,fake,test
HF_gossipcop-5095960133,gossipcop-5095960133,HF,fake,train
HF_gossipcop-8158264241,gossipcop-8158264241,HF,fake,train
HF_gossipcop-6162779396,gossipcop-6162779396,HF,fake,train
HF_gossipcop-4298568194,gossipcop-4298568194,HF,fake,train
HF_gossipcop-4577642462,gossipcop-4577642462,HF,fake,train
HF_gossipcop-7259603960,gossipcop-7259603960,HF,fake,train
HF_gossipcop-1448464423,gossipcop-1448464423,HF,fake,train
HF_gossipcop-8609335343,gossipcop-8609335343,HF,fake,train
HF_gossipcop-1023869303,gossipcop-1023869303,HF,fake,train
HF_gossipcop-7480047450,gossipcop-7480047450,HF,fake,train
HF_gossipcop-3165034309,gossipcop-3165034309,HF,fake,train
HF_gossipcop-6594332926,gossipcop-6594332926,HF,fake,validation
HF_gossipcop-2532233011,gossipcop-2532233011,HF,fake,train
HF_gossipcop-4162142270,gossipcop-4162142270,HF,fake,train
HF_gossipcop-341261813,gossipcop-341261813,HF,fake,train
HF_gossipcop-5576071698,gossipcop-5576071698,HF,fake,train
HF_gossipcop-6326387769,gossipcop-6326387769,HF,fake,train
HF_gossipcop-7562432036,gossipcop-7562432036,HF,fake,test
HF_gossipcop-5051410001,gossipcop-5051410001,HF,fake,validation
HF_gossipcop-5560007101,gossipcop-5560007101,HF,fake,validation
HF_gossipcop-4157369613,gossipcop-4157369613,HF,fake,train
HF_gossipcop-7533724553,gossipcop-7533724553,HF,fake,train
HF_gossipcop-2803748870,gossipcop-2803748870,HF,fake,train
HF_gossipcop-3631271081,gossipcop-3631271081,HF,fake,train
HF_gossipcop-7147482030,gossipcop-7147482030,HF,fake,validation
HF_gossipcop-3387627768,gossipcop-3387627768,HF,fake,train
HF_gossipcop-6010530745,gossipcop-6010530745,HF,fake,validation
HF_gossipcop-9024002184,gossipcop-9024002184,HF,fake,train
HF_gossipcop-6756091664,gossipcop-6756091664,HF,fake,train
HF_gossipcop-4658536053,gossipcop-4658536053,HF,fake,validation
HF_gossipcop-7038744891,gossipcop-7038744891,HF,fake,test
HF_gossipcop-6030823679,gossipcop-6030823679,HF,fake,validation
HF_gossipcop-1488759008,gossipcop-1488759008,HF,fake,test
HF_gossipcop-6226639736,gossipcop-6226639736,HF,fake,train
HF_gossipcop-1107520962,gossipcop-1107520962,HF,fake,test
HF_gossipcop-7042288290,gossipcop-7042288290,HF,fake,validation
HF_gossipcop-1828588873,gossipcop-1828588873,HF,fake,validation
HF_gossipcop-6172771554,gossipcop-6172771554,HF,fake,train
HF_gossipcop-2709679970,gossipcop-2709679970,HF,fake,train
HF_gossipcop-6941098368,gossipcop-6941098368,HF,fake,train
HF_gossipcop-938843141,gossipcop-938843141,HF,fake,validation
HF_gossipcop-2879402342,gossipcop-2879402342,HF,fake,test
HF_gossipcop-6913215786,gossipcop-6913215786,HF,fake,train
HF_gossipcop-3821132681,gossipcop-3821132681,HF,fake,test
HF_gossipcop-4784074017,gossipcop-4784074017,HF,fake,train
HF_gossipcop-9967416540,gossipcop-9967416540,HF,fake,train
HF_gossipcop-4628620511,gossipcop-4628620511,HF,fake,test
HF_gossipcop-9742496952,gossipcop-9742496952,HF,fake,train
HF_gossipcop-9715529297,gossipcop-9715529297,HF,fake,train
HF_gossipcop-6414003834,gossipcop-6414003834,HF,fake,train
HF_gossipcop-1605279754,gossipcop-1605279754,HF,fake,validation
HF_gossipcop-8397403501,gossipcop-8397403501,HF,fake,validation
HF_gossipcop-8433113131,gossipcop-8433113131,HF,fake,train
HF_gossipcop-5835779872,gossipcop-5835779872,HF,fake,train
HF_gossipcop-2656814899,gossipcop-2656814899,HF,fake,validation
HF_gossipcop-4433782210,gossipcop-4433782210,HF,fake,train
HF_gossipcop-7397523769,gossipcop-7397523769,HF,fake,train
HF_gossipcop-2320729409,gossipcop-2320729409,HF,fake,train
HF_gossipcop-4091251786,gossipcop-4091251786,HF,fake,test
HF_gossipcop-1315164180,gossipcop-1315164180,HF,fake,train
HF_gossipcop-4669006800,gossipcop-4669006800,HF,fake,train
HF_gossipcop-3083904320,gossipcop-3083904320,HF,fake,validation
HF_gossipcop-1674483293,gossipcop-1674483293,HF,fake,test
HF_gossipcop-7574436489,gossipcop-7574436489,HF,fake,validation
HF_gossipcop-7894684433,gossipcop-7894684433,HF,fake,train
HF_gossipcop-5869226639,gossipcop-5869226639,HF,fake,train
HF_gossipcop-1266666545,gossipcop-1266666545,HF,fake,test
HF_gossipcop-8787806261,gossipcop-8787806261,HF,fake,train
HF_gossipcop-7028000763,gossipcop-7028000763,HF,fake,validation
HF_gossipcop-5177133863,gossipcop-5177133863,HF,fake,validation
HF_gossipcop-4882548283,gossipcop-4882548283,HF,fake,train
HF_gossipcop-345583632,gossipcop-345583632,HF,fake,train
HF_gossipcop-5176410105,gossipcop-5176410105,HF,fake,validation
HF_gossipcop-7793200495,gossipcop-7793200495,HF,fake,train
HF_gossipcop-4100366327,gossipcop-4100366327,HF,fake,train
HF_gossipcop-3350632620,gossipcop-3350632620,HF,fake,train
HF_gossipcop-7924388386,gossipcop-7924388386,HF,fake,validation
HF_gossipcop-3153096580,gossipcop-3153096580,HF,fake,validation
HF_gossipcop-4650971003,gossipcop-4650971003,HF,fake,validation
HF_gossipcop-2727495678,gossipcop-2727495678,HF,fake,train
HF_gossipcop-8663476446,gossipcop-8663476446,HF,fake,train
HF_gossipcop-6314621161,gossipcop-6314621161,HF,fake,train
HF_gossipcop-5310842420,gossipcop-5310842420,HF,fake,test
HF_gossipcop-1799327317,gossipcop-1799327317,HF,fake,train
HF_gossipcop-1648328243,gossipcop-1648328243,HF,fake,test
HF_gossipcop-703016938,gossipcop-703016938,HF,fake,train
HF_gossipcop-8330581018,gossipcop-8330581018,HF,fake,test
HF_gossipcop-8916783957,gossipcop-8916783957,HF,fake,train
HF_gossipcop-8354549164,gossipcop-8354549164,HF,fake,train
HF_gossipcop-9302133862,gossipcop-9302133862,HF,fake,train
HF_gossipcop-7266959676,gossipcop-7266959676,HF,fake,validation
HF_gossipcop-7382234917,gossipcop-7382234917,HF,fake,train
HF_gossipcop-6331772162,gossipcop-6331772162,HF,fake,test
HF_gossipcop-8996311550,gossipcop-8996311550,HF,fake,validation
HF_gossipcop-2076682877,gossipcop-2076682877,HF,fake,test
HF_gossipcop-6098748582,gossipcop-6098748582,HF,fake,train
HF_gossipcop-9427551247,gossipcop-9427551247,HF,fake,train
HF_gossipcop-4596583214,gossipcop-4596583214,HF,fake,train
HF_gossipcop-8993161151,gossipcop-8993161151,HF,fake,validation
HF_gossipcop-9239880847,gossipcop-9239880847,HF,fake,train
HF_gossipcop-1435049921,gossipcop-1435049921,HF,fake,train
HF_gossipcop-393798271,gossipcop-393798271,HF,fake,validation
HF_gossipcop-8569172943,gossipcop-8569172943,HF,fake,train
HF_gossipcop-5333355881,gossipcop-5333355881,HF,fake,train
HF_gossipcop-4037512632,gossipcop-4037512632,HF,fake,validation
HF_gossipcop-3112228740,gossipcop-3112228740,HF,fake,train
HF_gossipcop-8638680608,gossipcop-8638680608,HF,fake,train
HF_gossipcop-8688759038,gossipcop-8688759038,HF,fake,train
HF_gossipcop-213925729,gossipcop-213925729,HF,fake,train
HF_gossipcop-2133150152,gossipcop-2133150152,HF,fake,train
HF_gossipcop-8489729650,gossipcop-8489729650,HF,fake,train
HF_gossipcop-236447602,gossipcop-236447602,HF,fake,validation
HF_gossipcop-4990044405,gossipcop-4990044405,HF,fake,train
HF_gossipcop-7794866642,gossipcop-7794866642,HF,fake,train
HF_gossipcop-8829213246,gossipcop-8829213246,HF,fake,train
HF_gossipcop-2108146336,gossipcop-2108146336,HF,fake,validation
HF_gossipcop-7252964000,gossipcop-7252964000,HF,fake,test
HF_gossipcop-9566577328,gossipcop-9566577328,HF,fake,test
HF_gossipcop-9878194459,gossipcop-9878194459,HF,fake,test
HF_gossipcop-3564327541,gossipcop-3564327541,HF,fake,train
HF_gossipcop-3968227653,gossipcop-3968227653,HF,fake,test
HF_gossipcop-5656838669,gossipcop-5656838669,HF,fake,validation
HF_gossipcop-6598316141,gossipcop-6598316141,HF,fake,test
HF_gossipcop-1985203952,gossipcop-1985203952,HF,fake,validation
HF_gossipcop-6991597859,gossipcop-6991597859,HF,fake,validation
HF_gossipcop-3642751744,gossipcop-3642751744,HF,fake,train
HF_gossipcop-179256935,gossipcop-179256935,HF,fake,test
HF_gossipcop-4050914559,gossipcop-4050914559,HF,fake,train
HF_gossipcop-2824975232,gossipcop-2824975232,HF,fake,train
HF_gossipcop-9251754528,gossipcop-9251754528,HF,fake,test
HF_gossipcop-7085270580,gossipcop-7085270580,HF,fake,validation
HF_gossipcop-4496358990,gossipcop-4496358990,HF,fake,test
HF_gossipcop-4383623389,gossipcop-4383623389,HF,fake,train
HF_gossipcop-2860022327,gossipcop-2860022327,HF,fake,test
HF_gossipcop-4321231753,gossipcop-4321231753,HF,fake,train
HF_gossipcop-7706490560,gossipcop-7706490560,HF,fake,train
HF_gossipcop-3308313232,gossipcop-3308313232,HF,fake,test
HF_gossipcop-8174803770,gossipcop-8174803770,HF,fake,test
HF_gossipcop-4970558987,gossipcop-4970558987,HF,fake,validation
HF_gossipcop-7115346331,gossipcop-7115346331,HF,fake,train
HF_gossipcop-6624787872,gossipcop-6624787872,HF,fake,train
HF_gossipcop-5392119570,gossipcop-5392119570,HF,fake,validation
HF_gossipcop-6504249629,gossipcop-6504249629,HF,fake,train
HF_gossipcop-4740628819,gossipcop-4740628819,HF,fake,validation
HF_gossipcop-8099376883,gossipcop-8099376883,HF,fake,validation
HF_gossipcop-1863545463,gossipcop-1863545463,HF,fake,train
HF_gossipcop-1409790969,gossipcop-1409790969,HF,fake,train
HF_gossipcop-1920823190,gossipcop-1920823190,HF,fake,train
HF_gossipcop-9354481299,gossipcop-9354481299,HF,fake,train
HF_gossipcop-2433981481,gossipcop-2433981481,HF,fake,train
HF_gossipcop-4528365096,gossipcop-4528365096,HF,fake,train
HF_gossipcop-2575330358,gossipcop-2575330358,HF,fake,train
HF_gossipcop-6147173555,gossipcop-6147173555,HF,fake,validation
HF_gossipcop-5048928733,gossipcop-5048928733,HF,fake,train
HF_gossipcop-6706668764,gossipcop-6706668764,HF,fake,train
HF_gossipcop-2823169336,gossipcop-2823169336,HF,fake,train
HF_gossipcop-2406635871,gossipcop-2406635871,HF,fake,validation
HF_gossipcop-7383365732,gossipcop-7383365732,HF,fake,train
HF_gossipcop-9886828867,gossipcop-9886828867,HF,fake,train
HF_gossipcop-8503469704,gossipcop-8503469704,HF,fake,validation
HF_gossipcop-8161078001,gossipcop-8161078001,HF,fake,train
HF_gossipcop-2680895146,gossipcop-2680895146,HF,fake,test
HF_gossipcop-4322858010,gossipcop-4322858010,HF,fake,train
HF_gossipcop-9015674094,gossipcop-9015674094,HF,fake,train
HF_gossipcop-2243489428,gossipcop-2243489428,HF,fake,train
HF_gossipcop-4199916818,gossipcop-4199916818,HF,fake,test
HF_gossipcop-6630473431,gossipcop-6630473431,HF,fake,train
HF_gossipcop-201837745,gossipcop-201837745,HF,fake,train
HF_gossipcop-2636027307,gossipcop-2636027307,HF,fake,validation
HF_gossipcop-3646746092,gossipcop-3646746092,HF,fake,train
HF_gossipcop-7661813492,gossipcop-7661813492,HF,fake,validation
HF_gossipcop-8206663318,gossipcop-8206663318,HF,fake,train
HF_gossipcop-834472291,gossipcop-834472291,HF,fake,validation
HF_gossipcop-9227321368,gossipcop-9227321368,HF,fake,train
HF_gossipcop-6749991746,gossipcop-6749991746,HF,fake,test
HF_gossipcop-7536015585,gossipcop-7536015585,HF,fake,train
HF_gossipcop-6239519280,gossipcop-6239519280,HF,fake,train
HF_gossipcop-7069573622,gossipcop-7069573622,HF,fake,test
HF_gossipcop-4772953023,gossipcop-4772953023,HF,fake,train
HF_gossipcop-2225119088,gossipcop-2225119088,HF,fake,train
HF_gossipcop-5239743061,gossipcop-5239743061,HF,fake,validation
HF_gossipcop-8781100192,gossipcop-8781100192,HF,fake,train
HF_gossipcop-5939824224,gossipcop-5939824224,HF,fake,train
HF_gossipcop-3952009039,gossipcop-3952009039,HF,fake,train
HF_gossipcop-5749954827,gossipcop-5749954827,HF,fake,test
HF_gossipcop-5846125151,gossipcop-5846125151,HF,fake,train
HF_gossipcop-3816475916,gossipcop-3816475916,HF,fake,train
HF_gossipcop-9750435466,gossipcop-9750435466,HF,fake,train
HF_gossipcop-494656243,gossipcop-494656243,HF,fake,train
HF_gossipcop-4517507180,gossipcop-4517507180,HF,fake,validation
HF_gossipcop-3801116516,gossipcop-3801116516,HF,fake,train
HF_gossipcop-7914178475,gossipcop-7914178475,HF,fake,train
HF_gossipcop-4177865021,gossipcop-4177865021,HF,fake,train
HF_gossipcop-1704742043,gossipcop-1704742043,HF,fake,validation
HF_gossipcop-590441805,gossipcop-590441805,HF,fake,validation
HF_gossipcop-8543066373,gossipcop-8543066373,HF,fake,test
HF_gossipcop-4919322995,gossipcop-4919322995,HF,fake,test
HF_gossipcop-1917210346,gossipcop-1917210346,HF,fake,train
HF_gossipcop-7510699363,gossipcop-7510699363,HF,fake,validation
HF_gossipcop-7753730793,gossipcop-7753730793,HF,fake,train
HF_gossipcop-8573181426,gossipcop-8573181426,HF,fake,train
HF_gossipcop-8682242374,gossipcop-8682242374,HF,fake,train
HF_gossipcop-5935590761,gossipcop-5935590761,HF,fake,train
HF_gossipcop-7453253042,gossipcop-7453253042,HF,fake,train
HF_gossipcop-8611166284,gossipcop-8611166284,HF,fake,train
HF_gossipcop-9782628637,gossipcop-9782628637,HF,fake,validation
HF_gossipcop-6733131485,gossipcop-6733131485,HF,fake,train
HF_gossipcop-6108996724,gossipcop-6108996724,HF,fake,train
HF_gossipcop-6660536658,gossipcop-6660536658,HF,fake,train
HF_gossipcop-2895484840,gossipcop-2895484840,HF,fake,train
HF_gossipcop-5241021422,gossipcop-5241021422,HF,fake,train
HF_gossipcop-1885887731,gossipcop-1885887731,HF,fake,test
HF_gossipcop-7433410608,gossipcop-7433410608,HF,fake,train
HF_gossipcop-1908732473,gossipcop-1908732473,HF,fake,train
HF_gossipcop-5407461289,gossipcop-5407461289,HF,fake,test
HF_gossipcop-1188816168,gossipcop-1188816168,HF,fake,train
HF_gossipcop-1603768996,gossipcop-1603768996,HF,fake,validation
HF_gossipcop-6174186742,gossipcop-6174186742,HF,fake,test
HF_gossipcop-1505670647,gossipcop-1505670647,HF,fake,test
HF_gossipcop-3478164106,gossipcop-3478164106,HF,fake,train
HF_gossipcop-3795651880,gossipcop-3795651880,HF,fake,train
HF_gossipcop-4728026144,gossipcop-4728026144,HF,fake,validation
HF_gossipcop-9180993020,gossipcop-9180993020,HF,fake,train
HF_gossipcop-3599406074,gossipcop-3599406074,HF,fake,validation
HF_gossipcop-9579681666,gossipcop-9579681666,HF,fake,validation
HF_gossipcop-5164614857,gossipcop-5164614857,HF,fake,train
HF_gossipcop-6899362624,gossipcop-6899362624,HF,fake,train
HF_gossipcop-594570426,gossipcop-594570426,HF,fake,train
HF_gossipcop-3181181360,gossipcop-3181181360,HF,fake,train
HF_gossipcop-3260782116,gossipcop-3260782116,HF,fake,test
HF_gossipcop-5166944687,gossipcop-5166944687,HF,fake,train
HF_gossipcop-1440280874,gossipcop-1440280874,HF,fake,test
HF_gossipcop-4379697773,gossipcop-4379697773,HF,fake,train
HF_gossipcop-994232799,gossipcop-994232799,HF,fake,train
HF_gossipcop-9533859944,gossipcop-9533859944,HF,fake,test
HF_gossipcop-5327470451,gossipcop-5327470451,HF,fake,train
HF_gossipcop-9160143371,gossipcop-9160143371,HF,fake,test
HF_gossipcop-2521468597,gossipcop-2521468597,HF,fake,train
HF_gossipcop-4355802893,gossipcop-4355802893,HF,fake,train
HF_gossipcop-2755391716,gossipcop-2755391716,HF,fake,train
HF_gossipcop-4442758643,gossipcop-4442758643,HF,fake,train
HF_gossipcop-6737488799,gossipcop-6737488799,HF,fake,train
HF_gossipcop-8315398096,gossipcop-8315398096,HF,fake,validation
HF_gossipcop-480839832,gossipcop-480839832,HF,fake,test
HF_gossipcop-9417952410,gossipcop-9417952410,HF,fake,validation
HF_gossipcop-5387573578,gossipcop-5387573578,HF,fake,validation
HF_gossipcop-9938603260,gossipcop-9938603260,HF,fake,train
HF_gossipcop-8092575981,gossipcop-8092575981,HF,fake,train
HF_gossipcop-92814312,gossipcop-92814312,HF,fake,train
HF_gossipcop-4716941257,gossipcop-4716941257,HF,fake,train
HF_gossipcop-4969454110,gossipcop-4969454110,HF,fake,test
HF_gossipcop-4625002166,gossipcop-4625002166,HF,fake,train
HF_gossipcop-2167384102,gossipcop-2167384102,HF,fake,train
HF_gossipcop-6062748853,gossipcop-6062748853,HF,fake,train
HF_gossipcop-7173564909,gossipcop-7173564909,HF,fake,test
HF_gossipcop-7754577216,gossipcop-7754577216,HF,fake,train
HF_gossipcop-8047164046,gossipcop-8047164046,HF,fake,test
HF_gossipcop-7414166530,gossipcop-7414166530,HF,fake,train
HF_gossipcop-5722368574,gossipcop-5722368574,HF,fake,validation
HF_gossipcop-8900043358,gossipcop-8900043358,HF,fake,train
HF_gossipcop-9578489765,gossipcop-9578489765,HF,fake,train
HF_gossipcop-2966872671,gossipcop-2966872671,HF,fake,validation
HF_gossipcop-297212227,gossipcop-297212227,HF,fake,train
HF_gossipcop-5119405298,gossipcop-5119405298,HF,fake,train
HF_gossipcop-8929894475,gossipcop-8929894475,HF,fake,train
HF_gossipcop-6776046000,gossipcop-6776046000,HF,fake,train
HF_gossipcop-1581337290,gossipcop-1581337290,HF,fake,train
HF_gossipcop-865326152,gossipcop-865326152,HF,fake,train
HF_gossipcop-5765775499,gossipcop-5765775499,HF,fake,train
HF_gossipcop-4848478073,gossipcop-4848478073,HF,fake,test
HF_gossipcop-607558250,gossipcop-607558250,HF,fake,train
HF_gossipcop-2341104097,gossipcop-2341104097,HF,fake,train
HF_gossipcop-2287631382,gossipcop-2287631382,HF,fake,train
HF_gossipcop-1903074961,gossipcop-1903074961,HF,fake,train
HF_gossipcop-9098202484,gossipcop-9098202484,HF,fake,test
HF_gossipcop-9639469508,gossipcop-9639469508,HF,fake,train
HF_gossipcop-9832756908,gossipcop-9832756908,HF,fake,train
HF_gossipcop-6348556752,gossipcop-6348556752,HF,fake,train
HF_gossipcop-2971458461,gossipcop-2971458461,HF,fake,test
HF_gossipcop-3530569807,gossipcop-3530569807,HF,fake,test
HF_gossipcop-6433924881,gossipcop-6433924881,HF,fake,validation
HF_gossipcop-6277941914,gossipcop-6277941914,HF,fake,train
HF_gossipcop-4556556046,gossipcop-4556556046,HF,fake,train
HF_gossipcop-191156688,gossipcop-191156688,HF,fake,validation
HF_gossipcop-5372899633,gossipcop-5372899633,HF,fake,train
HF_gossipcop-6496181044,gossipcop-6496181044,HF,fake,train
HF_gossipcop-6882359158,gossipcop-6882359158,HF,fake,test
HF_gossipcop-7010349230,gossipcop-7010349230,HF,fake,test
HF_gossipcop-5638983400,gossipcop-5638983400,HF,fake,validation
HF_gossipcop-718593344,gossipcop-718593344,HF,fake,validation
HF_gossipcop-5002080659,gossipcop-5002080659,HF,fake,test
HF_gossipcop-3141132408,gossipcop-3141132408,HF,fake,validation
HF_gossipcop-937069200,gossipcop-937069200,HF,fake,test
HF_gossipcop-7724686547,gossipcop-7724686547,HF,fake,train
HF_gossipcop-2658883454,gossipcop-2658883454,HF,fake,test
HF_gossipcop-4150926441,gossipcop-4150926441,HF,fake,train
HF_gossipcop-1811699604,gossipcop-1811699604,HF,fake,train
HF_gossipcop-4163684828,gossipcop-4163684828,HF,fake,train
HF_gossipcop-5506303401,gossipcop-5506303401,HF,fake,test
HF_gossipcop-2111229547,gossipcop-2111229547,HF,fake,train
HF_gossipcop-2420429687,gossipcop-2420429687,HF,fake,train
HF_gossipcop-4265306054,gossipcop-4265306054,HF,fake,validation
HF_gossipcop-9271967854,gossipcop-9271967854,HF,fake,train
HF_gossipcop-5570845914,gossipcop-5570845914,HF,fake,test
HF_gossipcop-1211097930,gossipcop-1211097930,HF,fake,train
HF_gossipcop-7384566778,gossipcop-7384566778,HF,fake,train
HF_gossipcop-6293939130,gossipcop-6293939130,HF,fake,train
HF_gossipcop-1301068570,gossipcop-1301068570,HF,fake,test
HF_gossipcop-9006620149,gossipcop-9006620149,HF,fake,train
HF_gossipcop-3186592026,gossipcop-3186592026,HF,fake,train
HF_gossipcop-2313840819,gossipcop-2313840819,HF,fake,train
HF_gossipcop-1695932627,gossipcop-1695932627,HF,fake,validation
HF_gossipcop-8143890330,gossipcop-8143890330,HF,fake,validation
HF_gossipcop-631419161,gossipcop-631419161,HF,fake,train
HF_gossipcop-3578554429,gossipcop-3578554429,HF,fake,test
HF_gossipcop-7078632828,gossipcop-7078632828,HF,fake,train
HF_gossipcop-6650664760,gossipcop-6650664760,HF,fake,test
HF_gossipcop-4161797733,gossipcop-4161797733,HF,fake,test
HF_gossipcop-2715725198,gossipcop-2715725198,HF,fake,train
HF_gossipcop-1120081991,gossipcop-1120081991,HF,fake,train
HF_gossipcop-496337708,gossipcop-496337708,HF,fake,train
HF_gossipcop-344385140,gossipcop-344385140,HF,fake,train
HF_gossipcop-75092956,gossipcop-75092956,HF,fake,train
HF_gossipcop-1784520868,gossipcop-1784520868,HF,fake,train
HF_gossipcop-1225099614,gossipcop-1225099614,HF,fake,train
HF_gossipcop-5109297398,gossipcop-5109297398,HF,fake,train
HF_gossipcop-419669932,gossipcop-419669932,HF,fake,train
HF_gossipcop-4220353298,gossipcop-4220353298,HF,fake,train
HF_gossipcop-9940130614,gossipcop-9940130614,HF,fake,train
HF_gossipcop-6229080761,gossipcop-6229080761,HF,fake,validation
HF_gossipcop-5682477415,gossipcop-5682477415,HF,fake,test
HF_gossipcop-1232016858,gossipcop-1232016858,HF,fake,train
HF_gossipcop-5672267043,gossipcop-5672267043,HF,fake,train
HF_gossipcop-2965059427,gossipcop-2965059427,HF,fake,validation
HF_gossipcop-8697896182,gossipcop-8697896182,HF,fake,train
HF_gossipcop-9852328784,gossipcop-9852328784,HF,fake,test
HF_gossipcop-1289487505,gossipcop-1289487505,HF,fake,train
HF_gossipcop-4508824340,gossipcop-4508824340,HF,fake,train
HF_gossipcop-8105884993,gossipcop-8105884993,HF,fake,validation
HF_gossipcop-189024222,gossipcop-189024222,HF,fake,train
